Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
40864030,"A Prayer for the Crown-Shy (Monk & Robot, #2)",Becky  Chambers,"Chambers, Becky",,,,4,4.46,Tordotcom,Kindle Edition,152,2022,2022,13/07/2022,13/07/2022,,,read,Officially out of Becky content :(,,,1,0
38357895,Convenience Store Woman,Sayaka Murata,"Murata, Sayaka",Ginny Tapley Takemori,,,3,3.71,Portobello Books,Paperback,163,2018,2016,12/07/2022,11/07/2022,,,read,3.5? I think? Wild ride,,,1,0
42527866,They Called Us Enemy,George Takei,"Takei, George","Justin Eisinger, Steven Scott, Harmony Becker",1603094504,9.7816E+12,5,4.41,Top Shelf Productions,Paperback,208,2019,2019,11/07/2022,11/07/2022,,,read,,,,1,0
43459807,The Housekeeper and the Professor,Yōko Ogawa,"Ogawa, Yōko",,1784875449,9.78178E+12,5,4.04,Vintage Classics,Paperback,180,2019,2003,11/07/2022,09/07/2022,favourites,favourites (#14),read,,,,1,0
39690616,"A Memory Called Empire (Teixcalaan, #1)",Arkady Martine,"Martine, Arkady",,1529001595,9.78153E+12,5,4.13,Pan Macmillan Paperbacks,Paperback,464,2019,2019,08/07/2022,16/06/2022,,,read,,,,1,0
57148248,"A Good Heretic (Wayfarers, #0.5)",Becky  Chambers,"Chambers, Becky",,,,4,4.29,Titan,ebook,20,2019,2019,07/07/2022,07/07/2022,,,read,,,,1,0
56060300,"Heartstopper: Volume Four (Heartstopper, #4)",Alice Oseman,"Oseman, Alice",,1338617567,9.78134E+12,4,4.65,Graphix,Hardcover,384,2022,2021,04/07/2022,04/07/2022,,,read,,,,1,0
43449920,"Heartstopper: Volume Three (Heartstopper, #3)",Alice Oseman,"Oseman, Alice",,,,5,4.62,Hodder Children's Books,Paperback,384,2020,2020,30/06/2022,29/06/2022,,,read,very good way to end pride month,,,1,0
43307358,"Heartstopper: Volume Two (Heartstopper, #2)",Alice Oseman,"Oseman, Alice",,1444951408,9.78144E+12,4,4.59,Hodder Children's Books,Paperback,320,2019,2019,29/06/2022,29/06/2022,,,read,,,,1,0
40495957,"Heartstopper: Volume One (Heartstopper, #1)",Alice Oseman,"Oseman, Alice",,152722533X,9.78153E+12,4,4.52,Selfpublished,Paperback,288,2018,2018,28/06/2022,28/06/2022,,,read,,,,1,0
